id,question,answer
84,What does the following mean: 'Plant Diversity 01 1.1 Morphological features of flowering plants 01 1.2 Main parts of a flowering plant 03 1.3 Diversity of the parts of flowering plants 04 1.4 Monocotyledonous and dicotyledonous plants 17 6.'?,Plant Diversity 01 1.1 Morphological features of flowering plants 01 1.2 Main parts of a flowering plant 03 1.3 Diversity of the parts of flowering plants 04 1.4 Monocotyledonous and dicotyledonous plants 17 6.
85,What does the following mean: 'Animal Diversity 72 6.1 Vertebrates and invertebrates 72 6.2 Adaptations of organisms to environment 78 6.3 Use of dichotomous key for classification of organisms 83'?,Animal Diversity 72 6.1 Vertebrates and invertebrates 72 6.2 Adaptations of organisms to environment 78 6.3 Use of dichotomous key for classification of organisms 83
86,What does the following mean: 'Forms of Energy and Uses 87 7.1 Kinetic energy 90 7.2 Potential energy 92 7.3 Electrical energy 94 7.4 Sound energy 96 7.5 Light energy 97 7.6 Heat/thermal energy 99 7.7 Chemical energy 101 8.'?,Forms of Energy and Uses 87 7.1 Kinetic energy 90 7.2 Potential energy 92 7.3 Electrical energy 94 7.4 Sound energy 96 7.5 Light energy 97 7.6 Heat/thermal energy 99 7.7 Chemical energy 101 8.
87,What does the following mean: 'The Nature of the Earth 105 8.1 The structure of the earth 105 8.2 Tectonic plate and plate tectonics 109 9.'?,The Nature of the Earth 105 8.1 The structure of the earth 105 8.2 Tectonic plate and plate tectonics 109 9.
88,What does the following mean: 'Light 115 9.1 Formation of umbra and penumbra 115 9.2 Images formed by plane mirrors 121 9.3 Images formed by curved mirrors 129 10.'?,Light 115 9.1 Formation of umbra and penumbra 115 9.2 Images formed by plane mirrors 121 9.3 Images formed by curved mirrors 129 10.
89,What does the following mean: 'The Correct Use of the Microscope 138 10.1 The simple microscope 139 10.2 Magnification of a microscope and resolving power 139 10.3 Compound light microscope 141 10.4 The electron microscope 147'?,The Correct Use of the Microscope 138 10.1 The simple microscope 139 10.2 Magnification of a microscope and resolving power 139 10.3 Compound light microscope 141 10.4 The electron microscope 147
90,What does the following mean: 'Science | Plant Diversity 1 Science | Plant Diversity PBPlant Diversity 01 1.1 Morphological features of flowering plants Flowers and fruits naturally come to our mind when we state about plants.'?,Science | Plant Diversity 1 Science | Plant Diversity PBPlant Diversity 01 1.1 Morphological features of flowering plants Flowers and fruits naturally come to our mind when we state about plants.
91,What does the following mean: 'Do all plants produce flowers?'?,Do all plants produce flowers?
92,What does the following mean: 'Pay your attention to the ornamental plants in the garden given in Figure 1.1.'?,Pay your attention to the ornamental plants in the garden given in Figure 1.1.
93,What does the following mean: 'Figure 1.1 View of a garden You can observe plants with flowers and without flowers.'?,Figure 1.1 View of a garden You can observe plants with flowers and without flowers.
94,What does the following mean: 'There are different varieties of plants in our environment.'?,There are different varieties of plants in our environment.
95,What does the following mean: 'Engage in Activity 1.1 to find out whether all the trees bear flowers.'?,Engage in Activity 1.1 to find out whether all the trees bear flowers.
96,What does the following mean: 'Activity 1.1 Names and the pictures of several plants are given below.'?,Activity 1.1 Names and the pictures of several plants are given below.
97,"What does the following mean: 'Although most of them are familiar to you, certain plants may not be familiar to you.'?","Although most of them are familiar to you, certain plants may not be familiar to you."
98,What does the following mean: 'Fern Gardenia ʻBalsamʼ ʻKasiththumbaiʼRose ʻIddaʼ ʻNanthiavattaiʼ'?,Fern Gardenia ʻBalsamʼ ʻKasiththumbaiʼRose ʻIddaʼ ʻNanthiavattaiʼ
99,What does the following mean: 'Science | Plant Diversity 3 Science | Plant Diversity 2Lotus Water Lily (ʻOluʼ / ʻAlliʼ)Moss 'Sal''Nagalingam' Curry leaves (Karapincha)Drynaria (Beduru)ʻKataroluʼ ʻKakkattanʼ Shoe flower Cycas Jasmine Cyperus CoconutLong bean Salvinia Prepare a table by grouping all the plants in Figure 1.2 into plants which bear flowers and plants which do not bear flowers.'?,Science | Plant Diversity 3 Science | Plant Diversity 2Lotus Water Lily (ʻOluʼ / ʻAlliʼ)Moss 'Sal''Nagalingam' Curry leaves (Karapincha)Drynaria (Beduru)ʻKataroluʼ ʻKakkattanʼ Shoe flower Cycas Jasmine Cyperus CoconutLong bean Salvinia Prepare a table by grouping all the plants in Figure 1.2 into plants which bear flowers and plants which do not bear flowers.
100,"What does the following mean: 'Compare your table with the following table.Figure 1.2 Several different types of plants Table 1.1 Plants which bear flowers Plants which do not bear flowers Rose, ʻIddaʼ, Gardenia, Balsam, Water lily, ʻSalʼ, Lotus, Shoe flower, Curry leaves, ʻKatarolu Z, Jasmine, Coconut, Long beanCycas, Moss, Salvinia, Cyperus, Drynaria, Ferns Now, it is clear to you that there are plants which produce flowers and that do not produce flowers in our environment.'?","Compare your table with the following table.Figure 1.2 Several different types of plants Table 1.1 Plants which bear flowers Plants which do not bear flowers Rose, ʻIddaʼ, Gardenia, Balsam, Water lily, ʻSalʼ, Lotus, Shoe flower, Curry leaves, ʻKatarolu Z, Jasmine, Coconut, Long beanCycas, Moss, Salvinia, Cyperus, Drynaria, Ferns Now, it is clear to you that there are plants which produce flowers and that do not produce flowers in our environment."
101,What does the following mean: 'Plants which produce flowers are called flowering plants and plants which do not produce flowers are called non flowering plants.'?,Plants which produce flowers are called flowering plants and plants which do not produce flowers are called non flowering plants.
102,What does the following mean: 'Assignment 1.1 ²Observe plants in your home garden or in your school premises.'?,Assignment 1.1 ²Observe plants in your home garden or in your school premises.
103,What does the following mean: '²Identify them as flowering plants and non flowering plants.'?,²Identify them as flowering plants and non flowering plants.
104,What does the following mean: '²Tabulate the plants you identified as flowering plants and non-flowering plants.'?,²Tabulate the plants you identified as flowering plants and non-flowering plants.
105,What does the following mean: 'Science | Plant Diversity 3 Science | Plant Diversity 21.2 Main parts of a flowering plant Observe the flowering plants in your surroundings.'?,Science | Plant Diversity 3 Science | Plant Diversity 21.2 Main parts of a flowering plant Observe the flowering plants in your surroundings.
106,What does the following mean: 'They are of different sizes.'?,They are of different sizes.
107,What does the following mean: 'You will observe small palnts as well as big trees among them.'?,You will observe small palnts as well as big trees among them.
108,"What does the following mean: 'Their stems, roots, flowers and fruits are also different from each other.'?","Their stems, roots, flowers and fruits are also different from each other."
109,"What does the following mean: 'Therefore, plants show a great diversity in their size and morphological features, but all flowering plants have some common parts.'?","Therefore, plants show a great diversity in their size and morphological features, but all flowering plants have some common parts."
110,What does the following mean: 'Let's do Activity 1.2 to identify the main parts of a flowering plant.'?,Let's do Activity 1.2 to identify the main parts of a flowering plant.
111,What does the following mean: 'Assignment 1.2 Identification of main parts of a flowering plant ²Select a small plant that produces flowers and fruits.'?,Assignment 1.2 Identification of main parts of a flowering plant ²Select a small plant that produces flowers and fruits.
112,"What does the following mean: 'e.g.:- ʻMonara Kudumbiya’, / ʻSeethaviyar Selugkalunerʼ ʻKuppameniyaʼ / ʻKuppaimaniʼ ²Add some water to the root and uproot it from the soil carefully without breaking roots.'?","e.g.:- ʻMonara Kudumbiya’, / ʻSeethaviyar Selugkalunerʼ ʻKuppameniyaʼ / ʻKuppaimaniʼ ²Add some water to the root and uproot it from the soil carefully without breaking roots."
113,"What does the following mean: '²Remove soil around roots carefully ²Press it between pages of newspapers, by adding a weight.'?","²Remove soil around roots carefully ²Press it between pages of newspapers, by adding a weight."
114,What does the following mean: '²Prepare a field book and paste the specimens in it after about one week.'?,²Prepare a field book and paste the specimens in it after about one week.
115,What does the following mean: 'Activity 1.2 Figure 1.'?,Activity 1.2 Figure 1.
116,What does the following mean: '3 Parts of a flowering plant The Figure 1.3 shows the parts of a flowering plant.'?,3 Parts of a flowering plant The Figure 1.3 shows the parts of a flowering plant.
117,What does the following mean: 'The main parts are labelled from 1 to 11.'?,The main parts are labelled from 1 to 11.
118,What does the following mean: 'Lateral buds (Axillary buds)06.'?,Lateral buds (Axillary buds)06.
119,What does the following mean: 'Shoot system 24 137 910 118 5 6'?,Shoot system 24 137 910 118 5 6
120,What does the following mean: 'Science | Plant Diversity 5 Science | Plant Diversity 4Identify the main parts of a plant in Assignment 1.2 referring to Figure 1.3.'?,Science | Plant Diversity 5 Science | Plant Diversity 4Identify the main parts of a plant in Assignment 1.2 referring to Figure 1.3.
121,"What does the following mean: 'Compare the pressed plant you have, with the pressed plants your friends have.'?","Compare the pressed plant you have, with the pressed plants your friends have."
122,What does the following mean: 'Observe similarities as well as dissimilarities among the main parts of them.'?,Observe similarities as well as dissimilarities among the main parts of them.
123,What does the following mean: '1.3 Diversity of the parts of flowering plants The characteristic feature of the flowering plant is formation of flowers.'?,1.3 Diversity of the parts of flowering plants The characteristic feature of the flowering plant is formation of flowers.
124,"What does the following mean: 'Almost all parts such as stem, leaves, roots, buds, flowers and fruits can be seen in most of the plants.'?","Almost all parts such as stem, leaves, roots, buds, flowers and fruits can be seen in most of the plants."
125,What does the following mean: 'Plants show a great diversity among these parts.'?,Plants show a great diversity among these parts.
126,What does the following mean: 'Diversity among roots of plants Assignment 1.3 ²Select a small grass plant and a ʻKuppameniyaʼ / ʻKuppaimaniʼ plant.'?,Diversity among roots of plants Assignment 1.3 ²Select a small grass plant and a ʻKuppameniyaʼ / ʻKuppaimaniʼ plant.
127,What does the following mean: '²After adding water uproot them carefully without damaging roots.'?,²After adding water uproot them carefully without damaging roots.
128,What does the following mean: '²Wash the soil of the roots.'?,²Wash the soil of the roots.
129,What does the following mean: 'Press it between pages of newspaper and dry.'?,Press it between pages of newspaper and dry.
130,What does the following mean: '²Paste it in the field book after one week.'?,²Paste it in the field book after one week.
131,What does the following mean: 'Normally root system remains underground in the soil.'?,Normally root system remains underground in the soil.
132,What does the following mean: 'There are two types of root systems.'?,There are two types of root systems.
133,What does the following mean: '²Some plants have a single large root which originates from the base of the stem.'?,²Some plants have a single large root which originates from the base of the stem.
